Date,LEI(YoY)_raw,LEI(YoY)_restored
1981-01-31,-117.57704400000001,-0.05126214302800005
1981-02-28,-118.55984400000001,-0.05336238662800003
1981-03-31,-107.28432000000001,-0.02926659184000002
1981-04-30,-89.83353600000001,0.008025733567999965
1981-05-31,-85.95896400000001,0.016305693931999984
1981-06-30,-91.69758000000002,0.004042271539999973
1981-07-31,-100.19178000000002,-0.014109833860000053
1981-08-31,-104.832,-0.024025983999999986
1981-09-30,-114.91506000000001,-0.04557348322000003
1981-10-31,-120.31671600000001,-0.05711682209200003
1981-11-30,-123.02222400000001,-0.06289849268800002
1981-12-31,-123.138288,-0.063146521456
1982-01-31,-120.74400000000001,-0.05802992800000002
1982-02-28,-116.19972000000001,-0.04831880164000005
1982-03-31,-118.97355600000002,-0.05424648917200003
1982-04-30,-121.62384,-0.059910146080000004
1982-05-31,-120.85304400000001,-0.058262955028000045
1982-06-30,-121.07347200000001,-0.05873400966400002
1982-07-31,-116.52264000000001,-0.04900888168000002
1982-08-31,-118.53457200000001,-0.05330838036400003
1982-09-30,-109.13526000000002,-0.033222050620000054
1982-10-31,-104.34762,-0.022990863939999998
1982-11-30,-100.46790000000001,-0.014699902300000041
1982-12-31,-94.58514,-0.0021284441799999955
1983-01-31,-82.66986,0.023334509180000004
1983-02-28,-78.75878400000002,0.03169247859199995
1983-03-31,-70.746624,0.04881446451200001
1983-04-30,-65.778336,0.059431695968000006
1983-05-31,-56.67901200000003,0.07887695135599994
1983-06-30,-45.290232,0.10321477421599999
1983-07-31,-41.37681600000002,0.11157774420799996
1983-08-31,-34.84681200000003,0.12553236275599994
1983-09-30,-32.33833200000001,0.13089298451599998
1983-10-31,-27.599831999999992,0.141019159016
1983-11-30,-26.885196000000008,0.142546336148
1983-12-31,-25.473240000000004,0.14556368612
1984-01-31,-27.575028000000003,0.141072165164
1984-02-29,-29.345940000000013,0.13728772621999996
1984-03-31,-34.863192,0.12549735869599998
1984-04-30,-37.327680000000015,0.12023074783999997
1984-05-31,-40.88073600000001,0.11263786716799996
1984-06-30,-47.07378000000003,0.09940333213999994
1984-07-31,-50.233248,0.092651549024
1984-08-31,-52.19978400000002,0.08844906159199996
1984-09-30,-58.966128000000026,0.07398938446399994
1984-10-31,-63.80244000000002,0.06365418571999996
1984-11-30,-63.09716400000002,0.06516136053199995
1984-12-31,-66.019824,0.05891563611200001
1985-01-31,-69.77458800000002,0.05089170544399994
1985-02-28,-71.67560400000002,0.046829234251999946
1985-03-31,-70.87345200000001,0.048543433075999974
1985-04-30,-72.66963600000003,0.04470498786799995
1985-05-31,-73.649628,0.04261074496399999
1985-06-30,-72.02566800000002,0.04608114748399995
1985-07-31,-72.10195200000001,0.04591812857599997
1985-08-31,-70.44803999999999,0.04945253852000002
1985-09-30,-68.79412800000003,0.05298694846399993
1985-10-31,-69.705792,0.051038722496
1985-11-30,-71.508996,0.04718527554800001
1985-12-31,-71.624124,0.046939247012
1986-01-31,-72.547956,0.044965018027999994
1986-02-28,-73.46242800000002,0.04301079136399997
1986-03-31,-74.33431200000001,0.041147575255999984
1986-04-30,-72.764172,0.04450296443599999
1986-05-31,-73.66834800000004,0.04257074032399991
1986-06-30,-72.182916,0.045745108507999996
1986-07-31,-74.62681200000003,0.04052250275599993
1986-08-31,-74.69092800000001,0.04038548686399997
1986-09-30,-74.75457600000001,0.04024947108799998
1986-10-31,-74.785932,0.040182463315999985
1986-11-30,-74.84864400000001,0.040048447771999986
1986-12-31,-74.16489600000003,0.041509617247999946
1987-01-31,-75.77902799999998,0.038060217164000036
1987-02-28,-74.29312800000002,0.04123558546399995
1987-03-31,-73.55368800000002,0.042815768743999956
1987-04-30,-75.95406000000003,0.03768617377999995
1987-05-31,-75.24691200000001,0.03919734905599999
1987-06-30,-77.67115200000003,0.03401674817599993
1987-07-31,-74.60668800000002,0.04056550774399996
1987-08-31,-74.66799600000002,0.04043449254799997
1987-09-30,-73.21953600000003,0.04352985156799992
1987-10-31,-72.49834800000002,0.04507103032399994
1987-11-30,-75.571236,0.038504268668
1987-12-31,-78.67173600000001,0.031878500167999986
1988-01-31,-77.17881600000001,0.03506887020799997
1988-02-29,-76.54139999999998,0.03643102820000003
1988-03-31,-75.85578000000001,0.03789619813999998
1988-04-30,-75.11680800000002,0.03947538130399995
1988-05-31,-75.20385600000003,0.03928935972799994
1988-06-30,-73.79424,0.04230170912
1988-07-31,-76.07761199999999,0.037422143156000016
1988-08-31,-76.85964000000001,0.035750949319999954
1988-09-30,-78.41012400000002,0.03243756501199993
1988-10-31,-77.735736,0.03387873216799999
1988-11-30,-75.51648000000003,0.03862128223999992
1988-12-31,-74.06989200000001,0.04171264079599998
1989-01-31,-74.85098400000001,0.04004344719199997
1989-02-28,-78.57252000000003,0.03209052475999993
1989-03-31,-83.62738800000002,0.02128827184399995
1989-04-30,-82.93147200000001,0.022775444335999956
1989-05-31,-86.51962800000001,0.015107554963999981
1989-06-30,-90.081108,0.0074966722039999925
1989-07-31,-92.19225600000001,0.0029851489279999655
1989-08-31,-91.49166,0.0044823225800000085
1989-09-30,-92.899404,0.001473973651999998
1989-10-31,-96.389748,-0.005984891475999987
1989-11-30,-96.385536,-0.005975890431999992
1989-12-31,-97.76613600000002,-0.008926232632000044
1990-01-31,-99.146736,-0.011876574832000024
1990-02-28,-100.53342,-0.014839918540000028
1990-03-31,-97.78485600000002,-0.008966237272000051
1990-04-30,-100.554012,-0.014883923643999993
1990-05-31,-99.17996400000001,-0.011947583068000043
1990-06-30,-98.489664,-0.010472411968000018
1990-07-31,-98.51166,-0.010519417420000003
1990-08-31,-106.89166800000001,-0.028427494516000032
1990-09-30,-112.488012,-0.040386881644
1990-10-31,-117.45630000000001,-0.05100411310000002
1990-11-30,-125.827416,-0.06889318799200002
1990-12-31,-130.030992,-0.07787622990399999
1991-01-31,-135.69894,-0.08998863477999997
1991-02-28,-135.121896,-0.088755491752
1991-03-31,-136.52917200000002,-0.09176284056400004
1991-04-30,-131.717664,-0.08148064796800003
1991-05-31,-128.89422000000002,-0.07544694814000003
1991-06-30,-128.89422000000002,-0.07544694814000003
1991-07-31,-122.672628,-0.06215140603600002
1991-08-31,-115.200072,-0.04618255386400001
1991-09-30,-105.99264,-0.02650627168
1991-10-31,-100.25402400000002,-0.014242849288000023
1991-11-30,-92.09538,0.0031921729399999777
1991-12-31,-88.28164799999999,0.011342118224000011
1992-01-31,-78.17986800000003,0.03292962208399995
1992-02-29,-75.83752799999999,0.037935202664000016
1992-03-31,-69.57990000000001,0.051307753699999986
1992-04-30,-70.54585200000002,0.04924351427599994
1992-05-31,-69.169464,0.05218485543199998
1992-06-30,-66.87907200000001,0.057079423135999986
1992-07-31,-69.406272,0.051678796735999996
1992-08-31,-68.69023200000001,0.05320897421599998
1992-09-30,-70.3872,0.04958255359999999
1992-10-31,-69.60002400000002,0.05126474871199996
1992-11-30,-65.10020400000002,0.06088086405199995
1992-12-31,-58.293611999999996,0.075426551156
1993-01-31,-58.51872,0.07494549535999999
1993-02-28,-56.398212,0.07947702095600001
